,County,Number Affected
0,Albany |WDB Name:  CAPITAL DISTRICT | Region:  Capital Region ,167
1,Queens |WDB Name:  NEW YORK CITY | Region:  New York City ,295
2,Suffolk |WDB Name:  SUFFOLK | Region:  Long Island ,75
3,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,71
4,Montgomery |WDB Name: FMS | Region: Mohawk Valley Region  ,34
5,Orange |WDB Name:  ORANGE | Region:  Mid-Hudson Region ,97
6,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,70
7,Bronx |WDB Name:  NEW YORK CITY | Region:  New York City ,70
8,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,57
9,Albany |WDB Name: CAPITAL DISTRICT | Region: Capital Region ,69
10,New York |WDB Name: NEW YORK CITY | Region: New York City ,145
11,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,612
12,Queens |WDB Name:  NEW YORK CITY | Region:  New York City ,38
13,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,81
14,Dutchess |WDB Name:  DUTCHESS | Region:  Mid-Hudson Region ,102
15,"Queens, Kings |WDB Name:  NEW YORK CITY | Region:  New York City ",36
16,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,609
17,Columbia |WDB Name:  COLUMBIA/GREENE | Region:  Capital Region ,90
18,Nassau |WDB Name:  HEMPSTEAD | Region:  Long Island ,40
19,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,145
20,Kings |WDB Name:  NEW YORK CITY | Region:  New York City ,30
21,Queens |WDB Name: NEW YORK CITY | Region: New York City  ,54
22,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,63
23,Orange |WDB Name:  ORANGE| Region:  Mid-Hudson Region ,254
24,Kings |WDB Name:  NEW YORK CITY | Region:  New York City ,42
25,Monroe |WDB Name:  MONROE | Region:  Finger Lakes Region ,111
26,Westchester |WDB Name: WESTCH/PTNM | Region: Mid-Hudson Region  ,30
27,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,548
28,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,1
29,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,53
30,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,589
31,Erie |WDB Name:  ERIE | Region:  Western Region ,51
32,Madison |WDB Name:  HMO | Region:  Mohawk Valley Region ,552
33,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,299
34,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,887
35,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,30
36,Wyoming |WDB Name:  GLOW | Region:  Finger Lakes Region ,337
37,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,50
38,Westchester |WDB Name:  WESTCH/PTNM | Region:  Mid-Hudson Region ,57
39,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,337
40,Montgomery |WDB Name:  FMS | Region:  Mohawk Valley Region ,34
41,Suffolk |WDB Name:  SUFFOLK | Region:  Long Island ,47
42,"Queens, Kings |WDB Name:  NEW YORK CITY | Region:  New York City ",78
43,Cortland |WDB Name:  CAYUGA/CORT | Region:  Central Region ,320
44,Queens |WDB Name: NEW YORK CITY | Region: New York City ,3
45,Suffolk |WDB Name:  SUFFOLK | Region:  Long Island ,303
46,Bronx |WDB Name:  NEW YORK CITY | Region:  New York City ,40
47,Rockland |WDB Name:  ROCKLAND | Region:  Mid-Hudson Region ,88
48,Queens |WDB Name:  NEW YORK CITY | Region:  New York City ,2
49,Ulster |WDB Name:  ULSTER | Region:  Mid-Hudson Region ,245
50,Kings |WDB Name:  NEW YORK CITY | Region:  New York City ,78
51,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,3
52,Erie |WDB Name: ERIE | Region: Western Region ,120
53,Erie |WDB Name:  ERIE | Region:  Western Region ,66
54,New York |WDB Name:  NEW YORK CITY | Region:  New York City ,32
55,Queens |WDB Name:  NEW YORK CITY | Region:  New York City ,125
56,Westchester |WDB Name:  WESTCH/PTNM | Region:  Mid-Hudson Region ,116
57,Orange |WDB Name:  ORANGE | Region:  Mid-Hudson Region ,106
58,Ontario |WDB Name: FINGER LAKES | Region: Finger Lakes Region ,122
59,Westchester |WDB Name: WESTCH/PTNM | Region: Mid-Hudson Region ,30
60,Niagara |WDB Name: NIAGARA | Region: Western Region ,337
61,Westchester |WDB Name: WESTCH/PTNM | Region: Mid-Hudson Region  ,30
